title,overview,rating,genre,Tokenized_Overview
everything everywhere all at once,an aging chinese immigrant is swept up in an insane adventure  where she alone can save what s important to her by connecting with the lives she could have led in other universes ,80.0,  action    adventure    science fiction  ,"['age', 'chines', 'immigr', 'swept', 'insan', 'adventur', 'alon', 'save', 'import', 'connect', 'live', 'could', 'led', 'univers']"
disenchanted,disillusioned with life in the city  feeling out of place in suburbia  and frustrated that her happily ever after hasn t been so easy to find  giselle turns to the magic of andalasia for help  accidentally transforming the entire town into a real life fairy tale and placing her family s future happiness in jeopardy  she must race against time to reverse the spell and determine what happily ever after truly means to her and her family ,71.0,  comedy    family    fantasy  ,"['disillus', 'life', 'citi', 'feel', 'place', 'suburbia', 'frustrat', 'happili', 'ever', 'easi', 'find', 'gisel', 'turn', 'magic', 'andalasia', 'help', 'accident', 'transform', 'entir', 'town', 'real', 'life', 'fairi', 'tale', 'place', 'famili', 'futur', 'happi', 'jeopardi', 'must', 'race', 'time', 'revers', 'spell', 'determin', 'happili', 'ever', 'truli', 'mean', 'famili']"
babylon,a tale of outsized ambition and outrageous excess  tracing the rise and fall of multiple characters in an era of unbridled decadence and depravity during hollywood s transition from silent films and to sound films in the late     s ,78.0,  drama    comedy  ,"['tale', 'outsiz', 'ambit', 'outrag', 'excess', 'trace', 'rise', 'fall', 'multipl', 'charact', 'era', 'unbridl', 'decad', 'deprav', 'hollywood', 'transit', 'silent', 'film', 'sound', 'film', 'late']"
polar,mg  a policewoman who has been expelled from the corps due to the problems with alcohol and drugs that she has had since the loss of her son  receives a call from a man asking her to look for macarena g mez  a popular tv actress ,68.0,  action    adventure    thriller  ,"['mg', 'policewoman', 'expel', 'corp', 'due', 'problem', 'alcohol', 'drug', 'sinc', 'loss', 'son', 'receiv', 'call', 'man', 'ask', 'look', 'macarena', 'g', 'mez', 'popular', 'tv', 'actress']"
thor: love and thunder,after his retirement is interrupted by gorr the god butcher  a galactic killer who seeks the extinction of the gods  thor odinson enlists the help of king valkyrie  korg  and ex girlfriend jane foster  who now wields mjolnir as the mighty thor  together they embark upon a harrowing cosmic adventure to uncover the mystery of the god butcher s vengeance and stop him before it s too late ,67.0,  fantasy    action    comedy  ,"['retir', 'interrupt', 'gorr', 'god', 'butcher', 'galact', 'killer', 'seek', 'extinct', 'god', 'thor', 'odinson', 'enlist', 'help', 'king', 'valkyri', 'korg', 'ex', 'girlfriend', 'jane', 'foster', 'wield', 'mjolnir', 'mighti', 'thor', 'togeth', 'embark', 'upon', 'harrow', 'cosmic', 'adventur', 'uncov', 'mysteri', 'god', 'butcher', 'vengeanc', 'stop', 'late']"
sonic the hedgehog 2,after settling in green hills  sonic is eager to prove he has what it takes to be a true hero  his test comes when dr  robotnik returns  this time with a new partner  knuckles  in search for an emerald that has the power to destroy civilizations  sonic teams up with his own sidekick  tails  and together they embark on a globe trotting journey to find the emerald before it falls into the wrong hands ,76.0,  action    adventure    family    comedy  ,"['settl', 'green', 'hill', 'sonic', 'eager', 'prove', 'take', 'true', 'hero', 'test', 'come', 'dr', 'robotnik', 'return', 'time', 'new', 'partner', 'knuckl', 'search', 'emerald', 'power', 'destroy', 'civil', 'sonic', 'team', 'sidekick', 'tail', 'togeth', 'embark', 'globe', 'trot', 'journey', 'find', 'emerald', 'fall', 'wrong', 'hand']"
demon slayer -kimetsu no yaiba- the movie: mugen train,tanjir  kamado  joined with inosuke hashibira  a boy raised by boars who wears a boar s head  and zenitsu agatsuma  a scared boy who reveals his true power when he sleeps  boards the infinity train on a new mission with the fire hashira  ky jur  rengoku  to defeat a demon who has been tormenting the people and killing the demon slayers who oppose it ,83.0,  animation    action    adventure    fantasy    thriller  ,"['tanjir', 'kamado', 'join', 'inosuk', 'hashibira', 'boy', 'rais', 'boar', 'wear', 'boar', 'head', 'zenitsu', 'agatsuma', 'scare', 'boy', 'reveal', 'true', 'power', 'sleep', 'board', 'infin', 'train', 'new', 'mission', 'fire', 'hashira', 'ky', 'jur', 'rengoku', 'defeat', 'demon', 'torment', 'peopl', 'kill', 'demon', 'slayer', 'oppos']"
jujutsu kaisen 0,yuta okkotsu is a nervous high school student who is suffering from a serious problem his childhood friend rika has turned into a curse and won t leave him alone  since rika is no ordinary curse  his plight is noticed by satoru gojo  a teacher at jujutsu high  a school where fledgling exorcists learn how to combat curses  gojo convinces yuta to enroll  but can he learn enough in time to confront the curse that haunts him ,83.0,  animation    action    fantasy  ,"['yuta', 'okkotsu', 'nervou', 'high', 'school', 'student', 'suffer', 'seriou', 'problem', 'childhood', 'friend', 'rika', 'turn', 'curs', 'leav', 'alon', 'sinc', 'rika', 'ordinari', 'curs', 'plight', 'notic', 'satoru', 'gojo', 'teacher', 'jujutsu', 'high', 'school', 'fledgl', 'exorcist', 'learn', 'combat', 'curs', 'gojo', 'convinc', 'yuta', 'enrol', 'learn', 'enough', 'time', 'confront', 'curs', 'haunt']"
dragon ball super: super hero,the red ribbon army  an evil organization that was once destroyed by goku in the past  has been reformed by a group of people who have created new and mightier androids  gamma   and gamma    and seek vengeance against goku and his family ,80.0,  animation    science fiction    action  ,"['red', 'ribbon', 'armi', 'evil', 'organ', 'destroy', 'goku', 'past', 'reform', 'group', 'peopl', 'creat', 'new', 'mightier', 'android', 'gamma', 'gamma', 'seek', 'vengeanc', 'goku', 'famili']"
blade of the 47 ronin,in this sequel to     ronin   a new class of warriors emerges among the samurai clans to keep a sought after sword from falling into the wrong hands ,67.0,  action    fantasy    thriller  ,"['sequel', 'ronin', 'new', 'class', 'warrior', 'emerg', 'among', 'samurai', 'clan', 'keep', 'sought', 'sword', 'fall', 'wrong', 'hand']"
"lyle, lyle, crocodile",when the primm family moves to new york city  their young son josh struggles to adapt to his new school and new friends  all of that changes when he discovers lyle   a singing crocodile who loves baths  caviar and great music   living in the attic of his new home  but when lyle s existence is threatened by evil neighbor mr  grumps  the primms must band together to show the world that family can come from the most unexpected places ,77.0,  comedy    family    music  ,"['primm', 'famili', 'move', 'new', 'york', 'citi', 'young', 'son', 'josh', 'struggl', 'adapt', 'new', 'school', 'new', 'friend', 'chang', 'discov', 'lyle', 'sing', 'crocodil', 'love', 'bath', 'caviar', 'great', 'music', 'live', 'attic', 'new', 'home', 'lyle', 'exist', 'threaten', 'evil', 'neighbor', 'mr', 'grump', 'primm', 'must', 'band', 'togeth', 'show', 'world', 'famili', 'come', 'unexpect', 'place']"
cop secret,when b ssi  iceland s toughest cop  is forced to work with a new partner to solve a series of bank robberies  the pressure to close the case as soon as possible proves too much for him ,63.0,  comedy    action    thriller  ,"['b', 'ssi', 'iceland', 'toughest', 'cop', 'forc', 'work', 'new', 'partner', 'solv', 'seri', 'bank', 'robberi', 'pressur', 'close', 'case', 'soon', 'possibl', 'prove', 'much']"
